Reflectivity differences of selected regions
435
Wavelength(nm)   NDS         NDS-error   DBS           DBS-error     SBS          SBS_error
      756.000  -0.00312962   0.00179176    0.0145686   0.00155051    0.0451777   0.00753100
      757.000  -0.00396934   0.00217381   0.00928637  0.000966740    0.0431837    0.0102293
      758.000  -0.00306491   0.00231890   0.00647546  0.000728050    0.0628558    0.0258883
      759.000 -0.000858544   0.00222890   0.00930886   0.00588995    0.0827339    0.0393960
      760.000  0.000980512   0.00343869    0.0183963    0.0137631     0.101199    0.0378436
      761.000 -0.000111185   0.00345200   0.00804875   0.00440737    0.0823524    0.0178120
      762.000 -0.000635251  0.000598173   0.00263939  0.000879020     0.127012    0.0494987
      763.000  0.000388048  0.000665882 -0.000957660  0.000678740     0.134907    0.0571180
      764.000  0.000467159  0.000531671  -0.00252945  0.000911365     0.138563    0.0430124
      765.000   0.00199142   0.00106681  0.000785194   0.00263137     0.158434    0.0448828
      766.000   0.00543200   0.00291584   0.00555998   0.00552870     0.151487    0.0445904
      767.000   0.00191116   0.00121562   0.00159492   0.00125604     0.153413    0.0384466
      768.000 -0.000912859   0.00137655   0.00186652  0.000463802     0.137933    0.0237092
      769.000  -0.00144272   0.00128803   0.00187840  0.000970110     0.102177    0.0221102
      770.000  0.000255317  0.000711085   0.00104048  0.000880540     0.103372    0.0251987
      771.000  0.000709742  0.000969230 -0.000712425   0.00103620     0.106540    0.0254099
      772.000  7.29411e-06   0.00121437  -0.00204444  0.000572095     0.103952    0.0134505
      773.000   0.00106166  0.000805073  -0.00275362  0.000417289    0.0909275   0.00971385
      774.000   0.00299609  0.000220847 -0.000898719  0.000275562     0.110395    0.0139387
      775.000   0.00148053  0.000469182  0.000420813  0.000560240     0.133031    0.0249934
      776.000 -0.000302184  0.000499864 -0.000362214   0.00129814     0.129332    0.0227807
      777.000 -0.000434023  0.000355857 -0.000513192   0.00149120     0.127285    0.0239285
      778.000  0.000221152  0.000467368 -0.000587419  0.000771470     0.139932    0.0373577
      779.000  0.000612147  0.000454383  -0.00132230  0.000395778     0.153882    0.0475823
      780.000  0.000428531  0.000502571 -0.000514522  0.000550635     0.163701    0.0506900
      781.000 -0.000273568  0.000755557  0.000220187  0.000775150     0.160012    0.0461642
      782.000 -0.000286155  0.000750324 -0.000480834  0.000733615     0.153068    0.0399906
      783.000  0.000838436  0.000825452 -0.000492435  0.000847260     0.155459    0.0426029
      784.000   0.00232315   0.00194621  0.000801727   0.00188039     0.166411    0.0488950
      785.000  0.000186402   0.00122644  8.81068e-05   0.00124268     0.170916    0.0445834
      786.000 -0.000662979   0.00108971 -6.37062e-05  0.000385131     0.165531    0.0418580
      787.000  -0.00109635  0.000502572 -0.000196099  0.000565220     0.152654    0.0363236
      788.000  -0.00153938  0.000324021  8.06078e-05  0.000690430     0.143743    0.0292810
      789.000  -0.00173484  0.000498081   0.00108763  0.000593515     0.148417    0.0349238
      790.000 -0.000368774  0.000945401   0.00113434  0.000348484     0.153389    0.0408999
      791.000  0.000770002  0.000926081  0.000511508  0.000662245     0.158783    0.0409037
      792.000  0.000588906  0.000931229 -0.000442617  0.000240197     0.165893    0.0427911
      793.000 -0.000288898  0.000861530 -0.000851694  0.000208816     0.161389    0.0436616
      794.000 -0.000614420  0.000975929 -0.000669280  0.000577700     0.156143    0.0446157
      795.000  -0.00118049  0.000522557 -0.000534905  0.000135336    0.0901103    0.0268163
      796.000  -0.00271100  0.000738693 -0.000660092  0.000263103     0.123911    0.0271215
      797.000  -0.00178925  0.000452719 -0.000776602  0.000656310     0.124167    0.0335388
      798.000 -0.000577341  0.000363496 -0.000894915  0.000802515     0.128107    0.0318168
      799.000 -0.000368970  0.000263934 -0.000939948  0.000486134     0.117424    0.0270607
      800.000 -0.000766951  0.000306366  -0.00201453  0.000405649     0.118293    0.0274602
      801.000  -0.00108192  0.000379042  -0.00262876  0.000147821     0.131904    0.0472962
      802.000 -0.000588022  0.000385350  -0.00166459  0.000566750     0.135761    0.0309920
      803.000  0.000168625  0.000665538 -0.000218287  0.000810650     0.134454    0.0302538
      804.000  0.000920200   0.00130895  0.000658542  0.000769170     0.140214    0.0436344
      805.000   0.00139197   0.00137073   0.00211250   0.00285657     0.167352    0.0435583
      806.000  0.000925969   0.00157763  0.000506897   0.00239990     0.164338    0.0396131
      807.000  0.000600940   0.00110238  -0.00168231  0.000695860     0.152170    0.0378014
      808.000  0.000184447  0.000551096  -0.00181038  0.000664805     0.150205    0.0431635
      809.000  0.000773069  0.000709895  0.000139005   0.00102785     0.152744    0.0414126
      810.000   0.00201979  0.000470462   0.00117889   0.00102200     0.143323    0.0324940
      811.000   0.00294672  0.000709453  0.000204649  0.000854630     0.143281    0.0346634
      812.000   0.00640776   0.00378995 -0.000460133  0.000648900     0.155301    0.0433046
      813.000   0.00507666   0.00240917  -0.00109677  0.000580725     0.174134    0.0436476
      814.000   0.00397416   0.00133097  -0.00121561   0.00103048     0.166095    0.0459684
      815.000   0.00449275  0.000239472  0.000237651   0.00145932     0.156378    0.0382380
      816.000   0.00754437   0.00209895   0.00246335   0.00149773     0.151530    0.0446086
      817.000    0.0161932   0.00896497   0.00520114   0.00208950     0.143795    0.0480592
      818.000   0.00498271   0.00175965   0.00985501   0.00544690     0.132644    0.0413195
      819.000   0.00225640   0.00111459    0.0143183   0.00925290     0.128242    0.0315377
      820.000   0.00193704   0.00197700   0.00877272   0.00503025     0.126172    0.0343537
      821.000   0.00100197   0.00169747   0.00718357   0.00434302     0.120252    0.0354167
      822.000 -0.000565305   0.00115321   0.00899261   0.00418184     0.128142    0.0358311
      823.000 -0.000735299  0.000868249    0.0129074   0.00382726     0.125520    0.0353304
      824.000  0.000173427   0.00172601    0.0185366   0.00634420     0.117397    0.0358917
      825.000  0.000726930   0.00151304    0.0216010   0.00683315     0.113635    0.0335150
      826.000   0.00246471  0.000889825    0.0200050   0.00303085     0.124084    0.0441713
